Table 1
FUNCTION 1: NAVIGATION AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Questions,Choice B,Choice C,Choice D,Answer,
2193,During a medevac one of the crew members requires assistance to be hoisted to the aircraft. Which of the following would be used to accomplish this task?,A rescue net,A single rescue litter,A rescue basket,A double lift,D,
2194,During a SAR helicopter evolution the rescue sling is the most widely used method of extraction. Which of the following describes the alternate Double Lift Method used to pick-up incapacitated persons?,A normal rescue sling and a rescue net used to simultaneously extract multiple personnel,A normal rescue sling and a rescue seat used to simultaneously extract multiple personnel,Two normal rescue slings one manned by a helicopter crew member,A normal rescue sling and a seating belt manned by a helicopter crew member,D,
2195,"During a search, a RU would like to communicate by VHF radio telephone on channel indicated, she must signal what code group?",MG,GH,MI            ,YY,D,
2196,During an abandonment or drill  the first person to arrive at the survival craft should:,pass out food and water to personnel,open the doors and start the sprinkler system,activate the emergency release handle,open the doors and prepare the craft for boarding,D,
2197,During helicopter winching operations over deck of a vessel needing assistance the high handler should be equipped with electricians and rubber soled shoes to avoid:,Being grounded by helicopter currents,Injury caused by the heat from helicopter engines,Injury caused by the winch lines,Shock from static discharge,D,
2198,"During severe storms when survival becomes a major concern, it may become necessary to relieve high anchor tensions on the windward side of the unit by:",deballasting the rig,ballasting the rig,paying out cable on the windward side,paying out cable on the leeward side,D,
2199,"During the course of the voyage, a seam falls on the main deck and injures his ankle. The master should submit a Report of Marine Accident, Injury of Death if the:",injured is incapacitated more than one day,injury results in loss of life only,injury is the result of misconduct,injured is incapacitated more than three days,D,
2200,"During the day, a vessel picking up a submarine cable, what shape  should be displayed?","Three shapes, the highest and lowest shall be red balls, and the middle shall be a white diamond",Two black balls,"Three shapes; the highest and lowest shall be black balls, and the middle shall be a red diamond",Three shapes; the highest and lowest shall be black balls and the middle shall be a black diamond,D,
2201,ECDIS for the last 12 hours:,must be able to preserve the record of the audio recording during maneuvering,must be able to preserve the record of the voyage track number of the vessel,must be able to preserve the waypoints of the voyage plan not more than 50,must be able to preserve the record of the passage track,D,
2202,"ECDIS must be able to perform the following, which is NOT included?",Make navigation safer,Determine true bearing and distance between two geographical points,Make navigation more efficient ,Determine magnetic compass deviation,D,
2203,ECDIS must give an alarm in the following cases EXCEPT:,when the specified limit for deviation from the planned route is exceeded,"if the ship, within a specified time set by the watch officer, is going to cross a safety contour","if the ship, within a specified time set by the watch officer, is going to cross the boundary of a prohibited area",If the ship's ETA has changed beyond the set limit,D,
2204,ECDIS must have the capability to preserve the record of the voyage track for the previous:,4 hours,6 hours,24 hours,12 hours,D,
2205,ECDIS uses the following units of measure EXCEPT:,depths in meters,distance in nautical miles,height in meters,true course in degrees,D,
2206,Electronic Plotting Aid (EPA) has which built in functions?,Time of closest point of approach (TCPA),Target trails,Plots at least 10 targets at one time,All of the choices,D,
2207,ENC Chart data format defined by IHO Transfer Standard for Digital Hydrographic Data.,S-58,S-55,S-56,S-57,D,
2208,Error may be introduced into a magnetic compass by:,making a structural change to the vessel,a short circuit near the compass,belt buckles,All of the choices,D,
2209,Every RESCUE CRAFT should be equipped with a mast on which a red cross flag can be hoisted. What is the dimension of this flag?,1 x 2 meters,1 x 3 meters,2 x 3 meters,2 x 2 meters,D,
2210,"Find the compass course to steer(CCTS) on a True course of 225deg. T. Leeway due to a Southerly wind is 10 degrees.  The Variation on the locality is 5deg. East, deviation of the compass is 4deg. East.",225deg. psc,214deg. psc,120deg. psc,206deg. psc,D,
2211,Find the course to steer to make good a true course of 098° given that the winds from SE is causing 3° leeway. Variation 7°W Deviation 4°W?,"True course 085°, Compass error  4°W Compass Course 102°","True course 095°, Compass error  3°W Compass Course 101°","True course 51°, Compass error  12°W Compass Course 102°","True course 101°, Compass error  11°W Compass Course 112°",D,
2212,Find the LMT if it is 1200 GMT and  your vessel is located at 117deg.E longitude.,1848 LMT,2012 LMT,2000 LMT,1948 LMT,D,
2213,Fog is formed when:,the moisture in the air is condensed into small droplets,air is cooled to its dew point,the base of a cloud is on the ground,All of the choices,D,
2214,"Following the loss of a ‘man overboard, you take the ‘conn and complete a Williamson Turn maneuvers but are unable to locate the man in the water. What would you now do:",I would keep off the RCC appraised of my activities and the results of any findings.,I would consider checking the sea temperature before conducting a man overboard search,I would suggest a sector search track space „S‟ every 30 minutes.,"I would conduct a ""sector search‟, as recommended by the IAMSAR Manual. During this period I would keep the RCC appraised of my activities and the results of any findings.",D,
2215,"For a racon signal to be visible on a 3-cm Radar, what should be done?",10-cm radar should be placed on standby or turned off,Gain control should be turned to maximum,"Radar should be stabilized, head up","Rain clutter control should be off but, if necessary, may be on low",D,
2216,"For emergency communications, vessels operating on oceans, coastwise, or Great Lakes routes, on runs of more than 30 minutes shall carry in a portable watertight container at or near the operating station __________. ",one 3-cell flashlight,six red hand flare distress signals,six orange hand smoke distress signals,six red hand flare distress signals and six orange hand smoke distress signals,D,
2217,"For navigational purposes, each great circle on the Earth has a length of:","3,600 miles","5,400 miles","12,500 miles","21,600 miles",D,
2218,"For the deepest water when negotiation a bend in a river, you should always navigate your vessel:",toward inside or outside bend of the river,toward the inside bend of the river,"toward the center of the river just before the bend, then change course for the rivers center after the bend",toward the outside bend of the river,D,
2219,"For what purpose are the following frequencies used: 2045 kHz, 2048 kHz and 2057 kHz?",Used only for homing purposes,Used as general ship to ship frequencies,Used as ship to ship frequencies between vessels of different nationality and as working frequency to foreign coast stations,Used as alternative distress frequencies if 2182 kHz is busy,D,
2220,"From those listed, the  best and target to use for radar ranging is a:",target such as a lighthouse,small rock,low-lying point,cliff face,D,
2221,"From those listed, which of the statement about the dip of a magnet is TRUE?","At the magnetic poles, the dip is least and the directive force is reduced","At the magnetic equator, the dip is maximum and the directive force the least","At the magnetic poles , the dip is least and the directive force is the greatest","At the magnetic equator, the dip is zero and the directive force  greatest",D,
2222,GPS position obtained from satellite transit must not be used without adjustment because the differences may significant to navigation. This correction should refer to:,ETRS89,Can be ignore,NAD83,WGS1984,D,
2223,Hanging a barge off means to:,remove and deliver a loaded barge from a multiple tow,remove a barge while locking through,tow an empty barge astern,moor a barge to the bank and leave,D,
2224,"High clouds, composed of small white flakes or scaly globular masses, and often banded together to form a mackerel sky, would be classified as:",cirrus,cumulonimbus,altostratus,cirrocumulus,D,
2225,"Hoist which relates to phrases that are very urgent, important and of common use is a:",four letter hoist,three letter hoist,double letter hoist ,single letter hoist ,D,
2226,Hot air can hold:,less moisture than cold air,the same amount of moisture as cold air,moisture independent of air temperature,more moisture than cold air,D,
2227,How can a dangerous target be detected from a relative motion display?,No change in target range,No change in target bearing,Both target bearing and range change,The target is closing in with no bearing change,D,
2228,How can rescue personnel detect that a SART is transmitting in the immediate vicinity:,The DSC unit will react to the SARTs signal and respond with the two-tone auto alarm.,The SART signal appears as a target which comes and goes; the effect of heavy swells on a SART.,The SART can provide an approximate location to within a two nautical mile radius per IMO standards.,The SARTs blips on the PPI will become arcs and eventually become concentric circles.,D,
2229,How can you minimize the squat effect:,maintain your course and speed,Do a zigzag maneuver to reduce speed,Increase speed if the ship is not already on full ahead,Decrease the speed as much as practicable,D,
2230,"How is the letter ""T"" pronounced when spoken over the radiotelephone? ",TEEE,TEE,TAHO,TANG GO,D,
2231,How many high waters usually occur each day on the East Coast of the United States?,Four,One,Three,Two,D,
2232,How many miles range is the range of shore-based MF coast station?,75 miles,200 miles,300 miles,100 miles,D,
2233,How many points are there in a compass card?,4,8,24,32,D,
2234,How should longitude 119°56.3'W be written when preparing an AMVER report?,V19.9,120°W,119.9W,11956W,D,
2235,How should signal flares be used after you have abandoned ship and are adrift in a liferaft?,Immediately use all the signals at once.,Use all the signals during the first night.,Employ a signal every hour after abandoning ship until they are gone.,Use them only when you are aware of a ship or plane in the area.,D,
2236,"How should the letter ""D"" be pronounced when spoken on the radiotelephone?",DUKE ,DA VID,DOG,DELL TAH ,D,
2237,"How should the letter ""Z"" be pronounced when spoken on the radiotelephone?",ZEE BR AH,ZEE ZE,ZE HE,ZOO LOO,D,
2238,"How should the number ""5"" be pronounced when spoken on the radiotelephone?",FIVE-ER,NEW-MARL-FIVE,NUM-ERL-FIVE,PAN-TAH-FIVE,D,
2239,Ice concentration is measured in tenths. What concentration range of ice corresponds to 1- 3 tenths:,Very Close Pack,Close Pack,Open Pack,Very Open Pack,D,
2240,Ice concentration is measured in tenths. What concentration range of ice corresponds to Close Pack:,5-6 tenths,6-7 tenths,9 - 10 tenths,7 - 8 tenths,D,
2241,Ice concentration is measured in tenths. What concentration range of ice corresponds to Open Pack:,3-4 tenths,Less Than 1 tenth,Greater than 1 tenths,4 - 6 tenths,D,
2242,Identify which data layer categories is not displayed on ECDIS?,ECDIS warnings and messages,Hydrographic office data,Notice to mariners information,Ship hydrodynamic information,D,
2243,Identify which of the following primary information should always appear on ECDIS display during route monitoring mode?,Next waypoint course ,Vessels cross tack error,Ships ETA,Selected route,D,
2244,"If a ""man overboard"" is heard over the radio, what precedes the message?",CQ CQ,SECURITE,MAYDAY,PAN PAN,D,
2245,If a man overboard is heard over the radio what precedes the message:,SECURITE,MAYDAY,CQ CQ,PAN PAN,D,
2246,"If a ship is in 150deg. E longitude and the equation of time is +6 minutes, what is the GMT of noon  at the ship?",0154H,2154H,2205H,0206H,D,
2247,"If a towing vessel and her tow are severely restricted in their ability to deviate from their course, the towing vessel shall show lights in addition to her towing identification lights. These additional lights shall be shown if the tow is .",pushed ahead,towed alongside,All of the above,towed astern,D,
2248,"If a vessel of length 20 meters or more is required by the rules to carry two or three lights in a vertical line, at what height above the hull (except where a towing light is required) must the lowest of these be placed?",At least 1.5 meters,Not less than 4 meters,So it can be seen at a distance of 1000m,Not less than 4.5 meters,D,
2249,"If an aircraft has UNDERSTOOD THE MESSAGE from a survivor, how would the aircraft send its reply?",Drop a message,Rock the wings by day or flash the landing or navigation lights twice during darkness,"Flash Morse Code signal ""T"" or ""R"" by light ",Any of the choices,D,
2250,"If an observer in the Northern Hemisphere faces the surface wind, the center of low pressure is to his:","left, slightly in front of him","right, slightly in front of him","left, slightly behind him","right, slightly behind him",D,
2251,If it becomes clear that the vessel required to keep out of the way is not taking appropriate action what may the stand-on vessel do?,Alter course but not alter course to starboard for a vessel on the starboard side,Sound five prolonged blasts on the whistle,Increase to maximum speed,Sound at least five short and rapid blasts on the whistle,D,
2252,"If it is impossible to avoid a hurricane in the Northern Hemisphere, the most favorable place to be when the storm passes is in:",the dangerous semicircle,the eye (center) of the storm,that half of the storm lying to the right of the storm's path,that half of the storm lying to the left of the storm's path,D,
2253,If more than one raft is manned after the vessel has sunk  you should:,go in a different direction in search of land,spread out to increase the possibility of a search aircraft finding you,reduce the number of rafts by getting as many people as possible into as few rafts as possible,tie the rafts together and try to stay in a single group,D,
2254,If several navigational lights are visible at the same time each one may be positively identified by checking all of the following EXCEPT what against the Light List:,Color,Rhythm,Period,Intensity,D,
2255,If terrestrial points are projected geometrically from infinity to a tangent plane the projection is called:,Mercator projection,conic projection,stereographic projection,orthographic projection,D,
2256,If the compass heading and the magnetic heading are the same then:,the deviation has been offset by the variation,the compass is being influenced by nearby metals,there is something wrong with the compass,there is no deviation on that heading,D,
2257,"If there are a number of survivors in the water after abandoning ship, they should:",form a raft by lashing their life preservers together,tie themselves to the unit so they wont drift with the current,send the strongest swimmer to shore for assistance,form a small circular group to create a warmer pocket of water in the center of the circle,D,
2258,"If you are forced to abandon ship in a liferaft, your course of action should be to:",head for the nearest land,head for the closest sea-lanes,let the persons in the boat vote on what to do,remain in the immediate vicinity,D,
2259,"If you are in urgent need of a helicopter, which signal code should you send?",BT1,BZ,BS,BR,D,
2260,"If you have to abandon ship, and enter a liferaft, your main course of action should be to:",head for the closest sea-lanes,head for the closest land,get a majority opinion,remain in the vicinity of the sinking vessel,D,
2261,"If you know that the vessel you are about to call on the VHF radio maintains a radio watch on both the working and the calling frequencies, which frequency should you call on?",Calling frequency,Distress frequency,Urgency frequency,Working frequency,D,
2262,"If you must enter water on which there is an oil fire, you should:",wear very light clothing,keep both hands in front of your face to break the water surface when diving head first,protect your life preserver by holding it above your head,enter the water on the windward side of the vessel,D,
2263,"If you receive the signal over radiotelephone of ""Romeo Papa Tango"" while using the international code of signals, you should __________.",end the transmission,report to the caller,continue since he received your last transmission,repeat your last transmission,D,
2264,"If you see an individual fall overboard, you should:",throw him/her a life buoy,"hail ""man overboard""",pass the word to the bridge,all of the choices,D,
2265,"If you take a bearing of 086deg. to a lighthouse, which other bearing of another prominent object will NOT give a good fix?",246 deg,176 deg,356 deg,266 deg,D,
2266,"If you take a bearing of 191deg. to a prominent object ashore, which bearing of another object will NOT provide a good fix?",99 deg,101 deg,281 deg,011 deg,D,
2267,"If you were coming up on another power-driven vessel from dead astern and desired to overtake on the other vessel's starboard side, which whistle signal would you sound?",Two short blasts,Two prolonged blasts followed by two short blasts,One prolonged blast,One short blast,D,
2268,"If you wished to transmit a message by voice concerning the safety of navigation, you would preface it by the word __________. ",Safety,Pan-Pan,Mayday,Securite,D,
2269,"If your liferaft is to leeward of a fire on the water, you should FIRST __________. ",paddle away from the fire,get out of the raft and swim to safety,splash water over the liferaft to cool it,cut the line to the sea anchor,D,
2270,If your radiotelephone fails while underway:,you must visually signal oncoming vessels,you must immediately tie up in the nearest port until the radiotelephone is repaired,you must anchor until the radiotelephone is repaired,the loss of the radiotelephone must be considered in navigating the vessel,D,
2271,"If your weather bulletin shows the center of a low pressure area to be 100 miles due east of your position, what winds  can you expect in the Northern Hemisphere?",Farther away to the west,East to southeast,East to northeast,North to northwest,D,
2272,"If, during helicopter refueling operations, fuel is spilled on clothing, the person should first:",see the medic immediately,spray himself with foam or CO2,complete his task and then see the medic,remove the clothing and wash,D,
2273,"If, for any reason, it is necessary to abandon ship while far out at sea, it is important that the crew members should:",separate from each other as this will increase the chances of being rescued,get away from the area because sharks will be attracted to the vessel,immediately head for the nearest land,remain together in the area because rescuers will start searching at the vessel's last known position,D,
2274,"In a charted water with a depth of 35 meters, a 380-meter long vessel dropped her anchor during a normal weather condition. If you want to achieve a reading in the Variable Range Marker (VRM) of 0.355 n. miles on the ARPA, representing the maximum swing of the ship. What scope of the anchor  should you use?",5,10,6,8,D,
2275,"In a crossing situation on international waters, a short blast by the give-way vessel indicates that the vessel .",is holding course and speed,will keep out of the way of the stand-on vessel,intends to pass port to port,is turning to starboard,D,
2276,"In a crossing situation, what action should the stand-on vessel normally take?",Take action to cross ahead of the other vessel,Take action to pass astern of the other vessel,Change course and increase speed,Maintain course and speed,D,
2277,"In a narrow channel, you are underway on power driven vessel A and desire to overtake power driven vessel B. After you sound two short blasts on your whistle, vessel B sounds five short and rapid blasts on the whistle. You should:",pass with caution on the port side of vessel B,slow or stop and expect radical maneuvers from B,answer the five short blast signal then stop your vessel until the other vessel initiates a signal,"hold your relative position, and then sound another signal after the situation has stabilized",D,
2278,"In a sector search, all turns are to starboard and with how many degree of turn each?",150 degrees,90 degrees,130 degrees,120 degrees,D,
2279,"In a set of code Flags, how many substitute are there?",5,2,4,3,D,
2280,"In addition to the whistle and bell, what could be the length of a vessel at anchor if she is using a gong?",Any length ,Less than 100 meters,50 Meters or more, 100 Meters or more,D,
2281,"In ARPA operation, what is the ""flashing diamond"" mean?",New target,Collision target,Target with speed less than 1 knot,Lost target,D,
2282,"In ARPA, how are small targets detected.",By switching the Automatic Acquisition Mode (AAM) to “ON” thereby acquiring all targets instantly regardless of shape and sizes,By switching the Outer Guard Zone at 12 mile range to have a maximum detection capability,By switching the Inner Guard Zone only at 6 mile range to have a maximum detection capability,By switching the Guard Zones to “ON” ( Inner and Outer),D,
2283,"In case a vessel seeks medical advice including the onward transmission of medical messages by radio or satellite communication between a ship and those ashore giving advice, how does the payment for such medical advice being made?",Depends on the gravity of ailment,Per minute basis,According to the seriousness of the case,Shall be available free of charge to all ships,D,
2284,"In certain circumstances, for which purpose may the VHF radiotelephone be used as an aid to keeping a proper lookout?",Clarifying a situation involving two vessels,For determining information about the location and movement of any ship,Confirming the intentions of identified vessels in a traffic scheme,All of these,D,
2285,"In current sailing, the term used to indicate the direction between a vessels last fix position and an estimated position is referred to as ________.",Course of advance,Track made good,Course made good,Course over ground,D,
2286,"In general, any tornado over a body of water is called:",twister,willy-willy,whirlpool,waterspout,D,
2287,"In general, the most effective period for observing stars and planets occurs during the darker limit of:",sunset,astronomical twilight,nautical twilight,civil twilight,D,
2288,"In good weather, you should deploy the sea anchor from the liferaft to:",keep the liferaft from capsizing,navigate against the current,keep personnel from getting seasick,stay in the general location,D,
2289,"In high latitudes, celestial observations can be made over a horizon covered with pack ice by bringing the sun tangent to the ice and:",adding 30° of arc to the sight,using a dip correction from table 22 in Bowditch Vol. II,doubling the semi diameter correction,using a dip correction based on the height of eye above the ice,D,
2290,"In international waters, you are on Vessel ""I"" in the situation as shown. Vessel ""II"" sounds one short blast. Which action should you take?",Sound one short blast and hold course and speed.,"Sound two short blasts, slow down and turn to port",Sound one short blast and slow down or turn to starboard.,Hold course and speed,D,
2291,"In low latitudes, the low(s) of the diurnal variation of pressure occur(s) at:",noon,noon and midnight,1000 and 2200,0400 and 1600,D,
2292,"In making special rules, an appropriate authority for roadsteads, harbors, rivers, lakes or inland waterways connected with the high seas and navigable by seagoing vessels, shall:",be initially approved by local authorities,have these approved by the IMO,have their areas of jurisdiction delineated on the appropriate nautical chart,conform as closely as possible to the Rules of the Road,D,
2293,"In Mercator sailing, distance is obtained by multiplying:",DMP and Cosine Course,Dlat and Cosine Course,Dlat and Sine Course,Dlat and Secant Course,D,
2294,"In Meteorology, it is a ring of cumulonimbus that encircles the eye of a tropical cyclone.",Halo,Cloud rings,Vortex,Eye wall,D,
2295,"In Meteorology, it is usually the ""eye of the storm"", that is the roughly circular area of comparatively light winds found at the center of a severe tropical cyclone.",Eye wall,Vertex,Bar of the storm,Vortex,D,
2296,In North America the majority of the weather systems move from:,north to south,south to north,east to west,west to east,D,
2297,"In operating ARPA, what does manual acquisition mean?",The operator select an area of interest and targets inside the area is acquired.,The operator acquires each target twice.,"The operator select an area of no interest, and targets outside the area is automatically acquired.",The operator must select and  acquire target manually.,D,
2298,"In order to insure that the racon signal is visible on your 3 cm radar, the:",10 cm radar should be placed on standby or turned off,gain control should be turned to maximum,"radar should be stabilized, head up","rain clutter control should be off but, if necessary, may be on low",D,
2299,In plotting a running fix how many fixed objects are needed to take your lines of position from:,Two,Three,None,One,D,
2300,In polar regions you should NOT expect to see:,mirage effects,sea smoke,false horizons,extensive snowfall,D,
2301,"In racetrack turn , to recover a man overboard, the vessel is steadied for the SECOND time after a turn of, how many degrees from the original heading?",60 degrees,135 degrees,180 degrees,360 degrees,D,
2302,"In RADAR operation, the 10-cm radar as compared to a 3-cm radar of similar specifications will ________.",provide a better range performance on low lying targets during good weather and calm seas. ,have more sea return during rough sea conditions,be more suitable for river and harbor navigation ,have a wider horizontal beam width ,D,
2303,"In RADAR operation, the 10-cm radar uses which of the following band?",Q-Band,X-Band  ,Y-Band ,S-Band ,D,
2304,"In RADAR operation, the 8-mm radar uses which of the following band?",S-band,L-band,K-band,Q-Band,D,
2305,"In reading a weather map, closely spaced pressure gradient lines would indicate:",fog or steady rain,high overcast clouds,calm or light winds,high winds,D,
2306,"IN REGION A of the IALA Buoyage System, when entering from seaward, the starboard side of a channel would be marked by a:",green can buoy,red can buoy,red conical buoy,green conical buoy,D,
2307,"In Rule 9 of the Navigation Rules, a vessel shall not cross a narrow channel or fairway if:",all of the choices ,fishing vessel engaged in trawling,fishing vessel engaged in fishing,such crossing impedes the passage of another vessel which can only safely navigate within the channel or fairway,D,
2308,"In shiphandling, there are four motions that are being dealt simultaneously. Which of the listed? ","pivotal, lateral, relative and horizontal motions","lateral motion and relative motion, horizontal and vertical motions","horizontal, pivot, momentum and resultant motions","longitudinal and rotational motions, lateral and relative motions",D,
2309,"In the Beaufort Scale of Wind Force, which of the following descriptive term is NOT included?",Light Air,Moderate breeze,Gale,Very Strong Storm,D,
2310,In the celestial equator system of coordinates of what is equivalent to the co-latitude of the Earth system of coordinates?,Declination,Co-altitude,Zenith distance,Polar distance,D,
2311,In the celestial equator system of coordinates what is NOT equivalent to the longitude of the Earth system of coordinates:,t,LHA,SHA,Zn,D,
2312,"In the IALA Buoyage System, buoys with alternating red and green horizontal bands are used to indicate:",spoil grounds,fishing areas,isolated danger,the preferred channel,D,
2313,"In the International Code of signals, a group of three letters indicates:",urgency or an emergency,the vessel's national identity signal,a group from the general signal code,a group from the medical signal code,D,
2314,"In the Navigation Rules, if a vessel is being propelled by sail and by engines, it is considered as: ",a sail vessel,"a ""special circumstance"" vessel",not covered under any category,a power-driven vessel,D,
2315,"In the international code of signals, what does a group of three letters indicates?",The vessel's national identity signal,A group from the general signal code,Urgency or an emergency,A group from the medical signal code,D,
2316,In what direction does the axis of the gyro-compass wheel point?,Compass North,North relative,Magnetic North,True North,D,
2317,In what order should the following sextant adjustment be made:   I. Make telescope parallel to frame of sextant   II.  See horizon glass perpendicular to frame of sextant   III. Make index mirror and horizon glass parallel to frame of sextant when index arm is set to zero IV Set index mirror perpendicular to frame of sextant,"I, II, III, IV","I, IV, II, III","III, II, IV, I","IV, II, III, I",D,
2318,"In your present position  Lat. 31deg. 45' N, Long 155deg. 40' E, you received a distress call from a vessel sending her position at Lat. 22deg. 30' N; Long. 125deg. 34' E.  What should be your course to steer to assist the vessel in distress?",109Deg. T,289Deg. T,078Deg. T,252Deg. T,D,
2319,Is there a need to follow VTS reporting:,No need to follow VTS as this is only voluntary.,Not necessary due very tiring to report all your positions.,Yes but only when entering and leaving VTS areas.,You need to comply/follow VTS to avoid collision.,D,
2320,It contains all charts information necessary for safe navigation and may contain supplementary information in addition to that contained in the paper chart (e.g. sailing direction) which may considered necessary for safe navigation.,ECDB,ECDIS,ECS,ENC,D,
2321,It is angular distance measured westerly from the observer's meridian to the hour circle passing to the body.,intercept,GHA,SHA ,LHA,D,
2322,It should be possible for Medical Transport to be identified by other vessels equipped with radar by signals from a radar transponder fitted on the medical transport or by submarines. What is the signal used by the medical transport which is followed by the call sign of the ship or other recognized means of identification?,Group WWW,Group XXX,Group ZZZ,Group YYY,D,
2323,Lines on a chart which connect points of equal magnetic variation are called:,dip,magnetic latitudes,magnetic declinations,isogonic lines,D,
2324,Magnetic variation changes with a change in:,seasons,the vessels heading,sea conditions,the vessels position,D,
2325,"Most commonly, ship's radar operates in the:",Q-band,S-band,L-band,X-band,D,
2326,"Most of your vessel's superstructure is forward. How will the vessel lie when drifting with no way on?
",All of the choices,With the wind off the port beam,With the wind off the starboard beam,With the wind from abaft the beam,D,
2327,Multi-year ice is the hardest sea ice and should be avoided if possible. It is recognizable because of what tone to its surface color:,Greenish,Grey,Grey-white,Bluish,D,
2328,"Never make comment, estimate or guess in your Official Logbook, but ______ only．",The details,The descriptions ,The specifications,The facts ,D,
2329,Officers of the navigational watch must:,should not appreciate that other ships may have different handling characteristics.,know excluding its stopping distances,not know the handling characteristics of their ship,know the handling characteristics of their ship and other operations,D,
2330,"On 6 July, at 1000 zone time, you cross the 180th meridian steaming westward. What is your local time:","It is 2200, 7 July.","It is 1000, 6 July.","It is 1000, 5 July.","It is 1000, 7 July.",D,
2331,"On an admiralty chart, a line joining places of equal variation is known as an Isogonic line. On special charts, lines of equal change of variation may be printed. This is known as:",Aclinic lines,Isoclinic lines,Isodynamic lines,Isallogonic lines,D,
2332,"On an Atlantic Ocean voyage from New York to Durban, South Africa, you should expect the Agulhas Current to present a strong:",onshore set,fair or following current,offshore set,head current,D,
2333,On ECDIS can voyage planning be executed?,Only if approved by the owner,Yes,Only if approved by the Flag State,No,D,
2334,"On May 5, 2015 at 2355H, the navigator of Vessel “A” has the other Vessel “B” ,at anchor , dead ahead at 10 miles while steaming at 15 knots. As soon  as Vessel “B” is 5.5 miles dead ahead of her, Vessel “A” alters her course 30 degrees to starboard. Find what time will Vessel “A” be closest to the anchored vessel.","May 6, 2015 at 0014H","May 6, 2015 at 0030H","May 6, 2015 at 0013H","May 6, 2015 at 0032H",D,
2335,"On open water, a power-driven vessel coming up dead astern of another vessel and altering her course to starboard so as to pass on the starboard side of the vessel ahead would sound:",one long and one short blast,two prolonged blasts followed by one short blast,two short blasts,one short blast,D,
2336,On the turning path of a vessel what do you call this distance of the ship s center of gravity along the original course from commencement of rudder deflection to the point when the ship has turned ninety degrees:,Turning Circle,Tactical diameter,Advance,Transfer,D,
2337,One of the first actions to be taken by survivors when they have boarded an inflatable liferaft is to __________.,drink at least one can of water,open the pressure relief valve,stream the sea anchor,take an anti-seasickness pill,D,
2338,One of the things to consider when setting a safe speed is the:,all of the choices,qualifications of the crew,engine horse power,vessel's draft,D,
2339,One of the two stars in the Ursa Minor pointing to Polaris is:,Alioth,Alphecca,Dubhe,Kochab,D,
2340,Opposition occurs when:,"the Sun, Earth, and Moon are at right angles",the Sun's declination is 0° and is moving south,an inferior planet is at the maximum angle to the line of sight to the Sun,the Earth is between a planet and the Sun,D,
2341,PAN-PAN repeated three times over the radiotelephone indicates which type of message will follow:,Safety,All clear,Distress,Urgency,D,
2342,Part B of the Rules of the Road pertains to which of the listed?,General,Lights and Shapes,Sound Signals,Steering and Sailing Rules,D,
2343,Passing signals shall be sounded on inland waters by:,a towing vessel when meeting another towing vessel on a clear day with a 0.6 mile CPA (Closest Point of Approach),all vessels upon sighting another vessel rounding a bend in the channel,All of the above,a power-driven vessel when crossing less than half a mile ahead of another power-driven vessel,D,
2344,Patient should be brought immediately to the hospital or I request you to arrange hospital admission.,MAF,MAA,MAE,MAC,D,
2345,"Pertaining RACON, which statement is CORRECT ?",It is a radar beacon which emits a signal starting with a dot and extending radially outward from the target.,It is a radar beacon which transmits either continuously or at intervals.,It is a radar transponder which emits a signal starting with a dash and extending radially inward from the target.,It is a radar transponder which emits a characteristic signal when triggered by a ships radar.,D,
2346,"Process of handing and taking over a watch between the outgoing and incoming Bridge Watch-keeping Officers should include the following, EXCEPT:",check error on compass and that it is being applied correctly ,verify the speed and draught of the ship. Ensure present draft is prominently displayed on the draft board ,"observe prevailing weather and sea condition, visibility, sea-state, tides and their effect on present course ",understand the maintenance status of all navigation equipment ,D,
2347,Quadrantal error in gyrocompass has its greatest effect:,In latitudes 70 deg N or S and upwards," On inter-cardinal headings, as well as NORTH, EAST, SOUTH, & WEST ",On north or south headings,"On headings near 045, 135, 225, & 315",D,
2348,Raster-scan chart data is:,the only format recognized by IMO/IHO,organized into many separate files,composed of files that are smaller than vector files,"a digitized ""picture"" of a chart in one format and one layer",D,
2349,Red lights may appear on:,spherical buoys,vertically striped buoys,yellow buoys,horizontally banded buoys,D,
2350,Right ascension is primarily used by the navigator for:,calculating amplitudes,calculating great circle sailings by the Ageton method,entering the Air Navigation Tables (Selected Stars) Pub 249,plotting on star finders,D,
2351,Rising air currents produced by warm islands are commonly called:,mare's tails,convective,mackerel sky,atoll clouds,D,
2352,Ship officers standing on navigational watch must be familiar with the different controls provided for in the radar system. What radar unit prevents the radar from being defocused?,Mixer crystal,Brilliance control,Fast time constant,Video limiting circuit,D,
2353,"Sidewise force of the propeller tends to throw a vessel's stern to the right or left, depending on rotation.  This force is caused by:",back current from the rudder,"greater pressure on the right or left side of the propeller, depending on rotation","lower pressure on the right or left side of the propeller, depending on rotation",torque from the velocity and angle at which the surrounding water impinges upon the propeller blades,D,
2354,Signaling devices which are required on inflatable liferafts include:,an air horn,a rocket shoulder rifle,an oil lantern,red flares,D,
2355,Sinkage for a given speed and hull condition in confined waters is ____ that in open water. ,Half,The same as,Thrice,Twice,D,
2356,"Small floes of rough, hummocky sea ice capable of damaging a vessel:",are indistinguishable from sea return on the PPI,are invisible to radar when covered with a thick layer of snow,are usually seen at night before they are close enough to provide a radar echo,can usually be detected by radar in a smooth sea at a range of 4 to 6 kilometers,D,
