Table 1
FUNCTION 3: CONTROLLING OF OPERATION OF THE SHIP AND  CARE FOR PERSONS ON BOARD AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
1561,"When water pressure of 100 psi is used in conjunction with an inline proportioner for the production of mechanical foam, a five-gallon can of liquid foam will last for how many minutes?",2-1/2 minutes, 5 minutes,1-1/2 minutes,10 minutes,C,
1562,Where would you find the call sign or call letters of the radio station on your vessel:,On the rig Watch Bill,On the Certificate of Inspection,On the Ship Station License,In the safety manual,C,
1563,Which curve is created when GZ is plotted in a base of displacement for constant angles of heel?,Sets of curves,Curves of statistical Stability,Cross curves of stability,Heel correction curves,C,
1564,Which does not affect the value of the free surface correction?,Specific gravity of the liquid in the tank,Length of the tank,Registered tonnage,Width of the tank,C,
1565,Which international body is responsible for drafting the convention prohibiting marine pollution? ,Maritime Advisory Council,International Association of Shipping,International Maritime Organization,Association of Seafaring Nations,C,
1566,Which measure should NOT be taken to reduce the pounding of a vessel in a head sea? ,Alter course,Add ballast forward,Add ballast in the after peak,Reduce speed,C,
1567,"Which of the following ""documented procedures"" is NOT required under ISO 9001:2000?",Preventive actions,Corrective actions,External audits, Internal audits,C,
1568,Which of the following are the proper location where to file a penal of disciplinary proceedings against the master of a vessel after a collision on the high seas?  I. Nationality of ship ownerII. Ship administration  III. Nationality of master,I and II,I and III,II and III,"I, II and III",C,
1569,Which of the following chemicals is routinely used to maintain potable water in a hygienic quality?,Hydrogen,Nitrogen,Chlorine,Zinc chromate,C,
1570,Which of the following comprehensive computerized maintenance system database modules would contain data such as work and safety procedures? ,Equipment management module,Requisitions management module,Planned maintenance management module,Inventory management module,C,
1571,Which of the following documents  designates which cargo a tank vessel can lawfully carry ?,The ABS load line certificate,Direct certificate of documentation, Certificate of inspection,Vessels permit to proceed,C,
1572,Which of the following is intended to cultivate a safety culture in the whole cabin of ship operation?,ISPS Code,Port State Control,ISM Code,PMMRR 97,C,
1573,Which of the following is NOT a  Special Area under MARPOL 73/78 Annex V?,Mediterranean Sea,Black Sea,Great Lakes,Red Sea,C,
1574,Which of the following is NOT a treatment for traumatic shock?,"Keep the patient warm, but not hot.",Have the injured person lie down.,Massage the arms and legs to restore circulation.,Relieve the pain of the injury.,C,
1575,Which of the following is NOT an effective system of artificial respiration that can be conducted to a victim if there is an accident?,Silvester method,Mouth to mouth,Mouth to throat,Mouth to nose,C,
1576,Which of the following is one of the quality management principles?,Pricing,Quality policy,Systematic approach to management,Control measures,C,
1577,Which of the following is part of the annual SOLAS required test on an EPIRB? ,Verification that the unit is stowed within five feet of survival craft,Verification that the unit lanyard is neatly stowed and properly secured to the vessel,Verification that the unit has been maintained by a shore based maintenance provider,Verification that the battery voltage is within 20% of the design limits,C,
1578,Which of the following is required to have a Shipboard Oil Pollution Emergency Plan?,Any barge or ship constructed or operated in such a manner that no oil in any form can be carried aboard,"An oil tanker of 400 gross tons and above, or other ships of 150 gross tons and above","An oil tanker of 150 gross tons and above, or other ship of 400 gross tons and above","All vessels, regardless of size and commercial application",C,
1579,"Which of the following is the required maximum tank capacity with regards to the limit of tank size, and quantity of oil that may be discharged in case the vessel is involved in a collision or grounding?","30,000 cubic meters","50,000  cubic meters","40,000 cubic meters","60,000 cubic meters",C,
1580,Which of the following is true?,Ships must respect established sea-lanes and Traffic separation Schemes under the jurisdiction of the administration,A coastal State has jurisdiction over fisheries but not foreign installations and structures within its economic zone,An archipelagic State may designate sea lanes through its waters accessible to all,The exclusive economic zone is the sea area within 15 mile from the countrys baseline,C,
1581,Which of the following is/are NOT indication/s of a patient with heavy blood loss?,Rapid but feeble pulse,Fast breathing than usual,Face is pinkish,Skin is cold and clammy,C,
1582,Which of the following practices should be avoided to minimize fire hazard?,Smoking near the burner front,Smoking in the machine shop,Stowing oily rags in a paint locker,Stowing portable acetylene bottles in the vertical position,C,
1583,Which of the following steps should normally be taken first by those who have boarded aliferaftin an emergency situation?,Check pyrotechnic supplies,Ration food and water supplies,Search for survivors,Determine position and closest point of land,C,
1584,Which of the following symptoms may be observed in a victim of cardiac arrest as a result of electric shock?,Weak pulse at wrist or neck,Flushed face,Respiration is weak or has stopped,All of  the  choices,C,
1585,Which of the following symptoms would be indicated if a persons appendix ruptured?,Dilated pupils and shallow breathing,Diarrhea and frequent urination,Muscle tenseness in almost the entire abdomen,Extreme sweating and reddening skin,C,
1586,Which of the listed procedures should be followed when individuals are rescued in cold climates and suffer from hypothermia?,Give them brandy,Get them to a hot room,"Apply warm compresses to the neck, chest wall and groin.",Cover with an electric blanket set for maximum temperature,C,
1587,Which of these is required to be included in Management Review?, Management forecasts,Internal communication,Customer feedback, Evaluation of efficiency,C,
1588,Which one of the following is a difference between a typical relief valve and a typical safety valve? ,The actuator closing spring on a relief valve is in a compressed state whereas the actuator closing spring on a safety valve acts in tension.,Relief valves are capable of being gagged whereas safety valves are not.,A relief valve gradually opens as pressure increases above set point pressure whereas a safety valve fully opens at the set point pressure.,The blow down of a relief valve is greater than the blow down of a safety valve.,C,
1589,Which statement is TRUE concerning distress signals in alifeboat?,A Very pistol with twelve flares is required.,Two hand-held smoke signals shall be provided.,Hand held flares and orange smoke signals are required.,"If hand-held rocket-propelled parachute flares are provided, they are the only distress signals required.",C,
1590,Which statement is TRUE concerning lifeboat gripes? ,They are normally used only with radial davits.,They must be released by freeing a safety shackle.,They may be adjusted by a turnbuckle.,They should not be released until the boat is in lowering position.,C,
1591,Which type of emergency equipment is independent of outside air and suited for use in a compartment readiness for launching with oxygen?,Face mask,All Service Gas Masks (Navy type),Oxygen Breathing Apparatus,Service gas mask used by coast guards,C,
1592,Which type of plan is used to outline the vessel's fire fighting arrangement within the fire control plan?,Inboard profile,Subdivision and stability,General arrangement,Partial,C,
1593,Which vessel in ocean service is not subject to Annex V of MARPOL 73/78? ,A 26-foot tug and tow,An uninspected 35-foot passenger vessel,A Navy Destroyer,A 20-foot sailing vessel,C,
1594,Which vessel is most likely loaded full but not down?,A bulk carrier loaded with heavy ore,A bulk carrier loaded with steel,A break bulk vessel loaded with palletized cargo,A tanker loaded with heavy grain,C,
1595,"While incineration of ship generated sewage sludge and sludge oil can alternatively be undertaken in main or auxiliary power plant or boilers, but______.","it should not to be undertaken above latitude 45 degrees NORTH, the Horse Latitude.",it is not to be undertaken while the vessel is en-route at a speed of more than 15 knots.,"it is not to be undertaken within ports, harbors or estuaries.","it is not to be undertaken if the vessel is undermanned in ports, harbors or estuaries",C,
1596,"While testing a cargo tank, your oxygen indicator reads 25% oxygen in the tank. You would then:",Ventilate the tank to the atmosphere to make it more safe for tank entry,Test for nitrogen at the lowest level of the tank,Conclude that the instrument is reading accurately,Enter the tank safely,C,
1597,Who is recognized as the only international body for developing guidelines?,Member government,Contracting party,IMO,Coastal states,C,
1598,Who must countersign any completed pages of the Oil Record Book?,Designated Officer,Chief Engineer,Master,Master and Chief Engineer,C,
1599,"With regards to a ship's Oil Record Book, an oil tanker of 150 gross tons and above must maintain entries in ________.",Part I only,Part II only,Both Part I and Part II,Part III,C,
1600,You are administering chest compressions during CPR. Where on the victims body should the pressure be applied?,Tip of the sternum,Top half of the sternum,Lower half of the sternum,Left chest over the heart,C,
1601,"You are in the planning stages of providing apparently needed general safety training. Besides a careful review of accident and incident investigations, what other strategy would provide an excellent resource for training ideas? ",Interview the ship's designated training officer.,Consult with the ship's master.,Careful review of the results of safety inspections.,Interview the designated ship's safety officer.,C,
1602,"You are on a 30,000 DWT tankship engaged in trade to another country signatory to MARPOL 73/78. Which statement is TRUE? ",The Certificate of Inspection is prima facie evidence of compliance with Marpol 73/78.,An IOPP Certificate is invalid if the ship carries cargoes outside the classes authorized thereon.,The IOPP Certificate is valid for 5 years.,AN IOPP Certificate is renewed at each inspection for certification.,C,
1603,"You are on board a super tanker MT ""Mariner"" and involved in a collision. Your draft has increased uniformly and there is about 4 feet of freeboard remaining. The vessel is on an even keel and has a long rolling period. The roll is sluggish, and the vessel hangs at the ends of a roll. Which of the following actions would you take First to correct the situation?",Flood any empty double bottom tanks to decrease KG.,Pump out a slack double bottom tank to reduce free surface.,Jettison topside weights to increase freeboard.,Pump out flooding water in the cargo holds to reduce free surface.,C,
1604,You are on watch at sea at night and a fire breaks out in No.3 hold. What should be done IMMEDIATELY?,Flood the space with CO2 from the fixed fire fighting system.,Cool the deck to contain the fire.,Shut down the cargo hold ventilation.,Proceed to the space and determine the extent of the fire.,C,
1605,You are wearing a breathing apparatus inside a tank. How many tugs on the lifeline should you give to indicate that you need help?,1,2,4,3,C,
1606,You have found a person laying prone and not breathing. An electric wire is touching the victim. Which of the actions listed is the FIRST thing you should do? ,Immediately begin cardiac massage.,Immediately begin artificial respiration.,Shut off power or remove the wire from the victim.,Leave the accident scene and summon medical assistance.,C,
1607,You have started to counterflood to correct a severe list or trim aggravated by an off-center weight. Which of the following should be done in case the vessel suddenly takes a list or trim to the opposite side?,Start deballasting from the low side,"Just continue counter-flooding, but in the opposite side",Immediately stop counter-flooding,"Do nothing, it will return upright by itself",C,
1608,"You must load as much of a large shipment of case goods as possible into a hold which has 24,000 cubic feet of space. Each case measures 2 feet by 2-1/2 feet by 4 feet and weights 448 pounds. If you allow for broken stowage of 15%, how many long tons can be loaded?",190,233,204,280,C,
1609,You notice a difference on your port and starboard drafts due to shifting a weight transversely. Your  vessel is said to be  _____.,Heeled,Trimmed,Listed,Sinking,C,
1610,Your ship is loading Class 1 explosives using the vessel's cranes. What style of hook or shackle are you required to use to attach the lifting sling to the runner? ,A safety hook with the latch locked open,An open hook to facilitate cargo operations,A hook that has been closed by wire,A screw-pin shackle painted yellow,C,
1611,"Your vessel is chartered under a time charter party. Under this type of charter party, your responsibility is __________.",solely to the cargo shippers and consignees,"solely to the owner, as under normal conditions",to the owner for vessel administration and to the charterer for cargo operations and schedule,solely to the charterer for all matters pertaining to cargo and ship administration,C,
1612,Your vessel is preparing to enter port. What is the SOLAS requirement for opening of the vessel's cargo hold watertight doors in this situation? ,The doors can be opened in preparation of cargo operations,All of the watertight doors can be opened with the exception of the bow doors,The doors shall remain secured while the vessel is navigating,The doors should remain closed until approval is granted by the pilot,C,
1613,"To extinguish an electrical fire, you should use ______.",mechanical foam,chemical foam,carbon dioxide,soda acid,C ,
1614,"A ""liner"" in riveted construction of a vessel is a(n):",internal frame to which the side shell is riveted,"backing plate which is used to level the strakes while riveting, and then removed",seam that is welded after riveting is completed,small plate which fills the aperture between riveted strakes and the vessel framing,D,
1615,"A 30,000 DWT tankship is required to have an IOPP certificate when:",going foreign,carrying cargoes listed in the MARPOL regulations,engaged in the coastwise trade,calling at ports in another country signatory to MARPOL 73/78,D,
1616,A ballast tank is one-third full when additional ballast is added until it is two-thirds full. The increased amount of liquid in the tank will have the greatest influence on the __________.,free surface effect,virtual rise in the center of gravity,value of the moment to trim 1 inch (MT1),transverse stability,D,
1617,"A band or collar on the top end of a boom to which the topping lift, midships guy, and outboard guys are secured, is called the:",collar band,guy band,pad eye collar,spider band,D,
1618,A box-shaped vessel 18 x 5 x 2 m floats in DW of RD 1.000 at a draft of 1.4 m. Calculate her percentage reserve buoyancy when she enters SW.,61.14%,51.72%,44.23%,31.73%,D,
1619,"A burning pain with redness of the skin, an irritating rash, blistering or loss of skin and or toxic poisoning are all symptoms of:",asphyxia,dermatitis,athletes foot,chemical burn,D,
1620,A carbon dioxide fire extinguisher is required to be recharged if the weight loss exceeds what percentage of the weight of the charge? (small passenger vessel regulations),One percent,Five percent,Seven percent,Ten percent,D,
1621,"A cargo hold containing cargo such as nitrates, chlorates etc. which produce oxygen under the influence of heat catches fire. How would you deal with this?",Close the hatches and use the fixed CO2 system.,Apply boundary cooling.,"Close the hatches, apply boundary cooling and allow the fire to use up the oxygen and extinguish itself.",With this type of material the hatches should not be battened down.  The fire can only be extinguished by using large quantities of water. ,D,
1622,A carling is used aboard ship:,as a connecting strap between the butted ends of plating,to prevent the anchor from fouling when the brake is released,to provide an extra heavy fitting in a heavy lift cargo rig,to stiffen areas under points of great stress between beams,D,
1623,"A charterer is unable to complete the loading of a vessel during the lay days specified in the charter party. Under these circumstances, the:",ship is authorized extra time to discharge the cargo,effective period of the charter is extended,charterer must pay dispatch money,vessel operator can collect demurrage,D,
1624,A class B fire is most successfully fought by:,cooling the burning material below its ignition temperature,using the extinguishing agent to absorb the heat,using the extinguishing agent to make the burning material fire-resistant,preventing oxygen from reaching the burning material,D,
1625,A collision bulkhead in cargo ships shall be fitted which shall be watertight up to the freeboard deck. What should be the distance of this bulkhead form the forward perpendicular?,"Not less than 15% of the length of the ship of 25 meters, whichever is less","Not less than 10% of the length of the ship of 15 meters, whichever is less","Not less than 8% of the length of the ship of 20 meters, whichever is less","Not less than 5% of the length of the ship of 10 meters, whichever is less",D,
1626,A combustible gas indicator is used to determine:,the amount of CO2 present in flue gas,if there is sufficient oxygen to support life,the toxicity of flammable gases or vapors,the presence of flammable gases or vapors in the air,D,
1627,A compound fracture is a fracture in which:,more than one bone is broken,the same bone is broken in more than one place,there is never any internal bleeding,the bone may be visible,D,
1628,A container with two end walls and open sides:,Flat Container,Rack Container,Open Container,Flat Rack,D,
1629,A crew member has suffered frostbite to the toes of the right foot.  Which is NOT an acceptable first aid measure?,Rewarm rapidly,Elevate the foot slightly,Give aspirin or other medication for pain if necessary,Rub the toes briskly,D,
1630,A crew member is having an epileptic convulsion. You should:,give the victim artificial respiration,completely restrain the victim,give the victim one 30 mg. tablet of phenobarbital,keep the victim from injuring him or herself,D,
1631,A crew member reports that the high-pressure alarm light of a low- pressure CO2 fixed fire extinguishing system is illuminated. The most probable cause of this condition would be that:,an excessive amount of insulation has been installed on the tank and piping,an air leak has developed in the tank,the pilot cylinder discharge valve is leaking,the tank cooling system has malfunctioned,D,
1632,A crew member suffering from hypothermia should be given:,a brisk rub down,a small dose of alcohol,a large meal,treatment for shock,D,
1633,"A crewmember has a small, gaping laceration of the arm that is not bleeding excessively. What can be done as an alternative to suturing to close the wound?",Massage the area to maintain circulation.,Use temporary stitches of sail twine.,Wrap a tight bandage around the wound.,"Apply butterfly strips, then a sterile dressing.",D,
1634,A cutoff valve in the fire-main system of a vessel may be closed to protect the portion of the system on an exposed deck from:,damage from crane operations,being used for wash down purposes,accidental diversion of flow to wrong location,freezing,D,
1635,A device used to immobilize fractures and help prevent bone displacement is:,Tourniquet,Bandage,Stretcher,Splint,D,
1636,"A distress alert from an Inmarsat-EPIRB, is received in the coverage area of a satellite by ground station within:",30 to 60 minutes,Don't know,60 to 90 minutes,two minutes,D,
1637,"A drip tray containing oil is on fire. The only fire fighting equipment available is water hose with spray jet/spray nozzle.How, if at all, should you attempt to put out this fire using water?",Water should be applied to the oil in a single jet only.,Water should be applied in a jet to the back of the fire.,Water should not be used on any type of oil fire.,The water can be applied in a fine spray starting from the front in a sweeping motion.,D,
1638,A fire hose has a:,female coupling at the nozzle end and a male coupling at the hydrant end,male coupling at both ends,female coupling at both ends,male coupling at the nozzle end and a female coupling at the hydrant end,D,
1639,A fire in a ballast pumproom can be brought under control with minimal impact on stability by:,flooding the compartment with salt water,cooling the outside bulkheads with water,closing the sea chest,shutting all sources of air into the compartment,D,
1640,A fire in the galley always pose the additional threat of:,contaminating food with extinguishing agent,spreading through the engineering space,causing loss of stability,a grease fire in the ventilation system,D,
1641,A fire involving aluminum powder would be a class.,“A” fire,“B” fire,“C” fire,“D” fire,D,
1642,A fire is discovered in the forepeak of a vessel at sea. The wind is from ahead at 35 knots. You should:,remain on course but slack the speed,remain on course and hold speed,change course to put the wind on either beam and increase speed,change course and put the stern to the wind,D,
1643,A fire main system must have enough fire hydrants so that each accessible space may be sprayed with:,a low velocity spray applicator,a water spray or solid stream,at least 25 psi delivered pressure,at least two spray patterns of water,D,
1644,A fire may be spread by which of the following means?,Conduction of heat to adjacent surfaces,Direct radiation,Convection,all of the choices,D,
1645,A fire must be ventilated:,if compressed gas cylinders are stowed in the compartment on fire,when using an indirect attack on the fire such as flooding  with water,to minimize heat buildup in adjacent compartments,to prevent the gases of combustion from surrounding the firefighters,D,
1646,A fire of escaping liquefied flammable gas is best  extinguished by:,interrupting the chain reaction,cutting off the supply of oxygen,cooling the gas below the ignition point,stopping the flow of gas,D,
1647,A flame screen:,permits vapors to exit but not enter a tank,prevents the passage of flammable vapors,prevents inert gas from leaving a tank,permits the passage of vapor but not of flame,D,
1648,A fracture of the skull or head injury should receive immediate attention to prevent damage to the brain.  Bleeding can be controlled by direct pressure on the:,veins near the neck,wrist on the left arm which is nearer to the heart,capillaries on the left shoulder,temporal or carotid arteries,D,
1649,"A fuel line breaks, sprays fuel on the hot exhaust manifold, and catches fire. Your FIRST action should be to:",batten down the engine room,start the fire pump,apply carbon dioxide to the fire,shut off the fuel supply,D,
1650,A health hazard term listed on a Material Safety Data Sheet (MSDS) that indicates allergic-like reaction in some people after repeated exposure is:,sensing hazard,oxidizer,skin irritant,sensitizer,D,
1651,A high-velocity fog stream can be used in fire fighting situations to drive heat and smoke ahead of the fire fighters in a passageway. This technique should only be used when:,The fire is totally contained by the ships structure,At least two fog streams can be used,Using a 2 ½ inch hose,There is an outlet for the smoke and heat,D,
1652,A horizontal line drawn along the top edge of the keel from midship is:,amidship,camber,rise of floor,baseline,D,
1653,A line 1/48 of the summer draft of the vessel above the summer load line.,Lumber summer load line,Lumber tropical load line,Summer Freeboard,Tropical load line,D,
1654,A load line is assigned to a vessel to insure adequate stability and:,lifesaving equipment,mooring tension,riser tension,structural strength,D,
1655,A magnesium fire is classified as class:,A,B,C,D,D,
1656,A man has suffered a burn on the arm.  There is extensive damage to the skin with charring present.  How is this injury classified using standard medical terminology?,Dermal burn,first degree burn,second degree burn,Third-degree burn,D,
1657,A man has suffered a burn on the arm.  There is reddening of the skin blistering and swelling.  How would this injury be classified using standard medical terminology?,blister burn,major burn,secondary burn,second-degree burn,D,
1658,A metal chimney or passage through which the smoke and gases are led from the uptakes to the open air:,pigment,Chimney,funnel,smokestack,D,
1659,"A metal pin secured to the rudder, which is hooked downward into the gudgeons on the stern post, and affords an axis of oscillation as the rudder is moved from side to side for steering.",Skeg,Boss,Propeller Aperture,Pintle,D,
1660,A motion of a vessel in waves about the vessel's longitudinal axis.,Pitching,Yawing,Heaving,Rolling,D,
1661,"A noxious liquid substance which, if discharged into the sea from tank cleaning or deballasting operations, are deemed to present a minor hazard to either marine resources or human health. What is this category?",Category Y,Category A,Category X,Category Z,D,
1662,"A oil tanker may not discharge an oily mixture into the sea from a cargo tank, slop tank, or cargo pump room bilge unless which of the following conditions is present?","Is within ""Special Areas"" defined in Regulation 1 (10) of Annex I to MARPOL 73/78",At anchor or stopped,More than 12 nautical miles from the nearest land,Discharging at an instantaneous rate of oil content not exceeding 30 liters per nautical mile,D,
1663,A patient with a severe head injury should be:,Given morphine at once to prevent pain,Returned to work as soon as possible to determine if any brain damage has occurred,Watched carefully but his state of consciousness may be ignored because it may be misleading,Put to bed. Relieve his pain with an ice bag and radio for advice,D,
1664,A person being treated for shock should be wrapped in warm  coverings to:,increase body heat,protect the person from injury during transportation,avoid self-inflicted wounds caused by spastic movement,preserve body heat,D,
1665,"A person is exhibiting signs of hypothermia and starts to shiver, what does this indicate?",the body is in the final stages of severe hypothermia,the body requires a rapid increase in core temperature,the body is dilating blood vessels to conserve heat,the body is trying to generate more heat,D,
1666,A person referring to the stern sheets of a lifeboat is speaking of:,a canvas awning,the emergency rudder,the line attached to the tack of the lugsail,the aftermost seating,D,
1667,A person slowly feel more sleepy and thirsty. The skin become very dry and there is a sweet taste of the breath. The glucose reaction shows positive. What kind of medicine will the person need  as soon as possible? ,Nothing at all,"Sugar lump, sugar drink or something sweet",A glass of cold milk,Insulin,D,
1668,A person suffering from a heart attack may show which of the following symptoms?,Shortness of breath,Pain in the left arm,Nausea,All of the choices,D,
1669,A person with diabetes has received a minor leg injury. The symptoms of the onset of a diabetic coma may include:,reduced appetite and thirst,sneezing and coughing,only a low grade fever,slurred speech and loss of coordination,D,
1670,A point that temperature to which a combustible liquid must be heated for it to give off a vapor that will momentarily flash in presence of a naked light.,Dew point,Firing Point,Flush point,Flash point,D,
1671,A portable foam fire extinguisher carried aboard a tank vessel must be recharged every:,3 months,6 months,9 months,12 months,D,
1672,A precaution you should take before bunkering is to:,close the lids on the vents,plug the vents,plug the sounding pipes,plug the scuppers,D,
1673,A preventer guy:,prevents anyone from working the cargo at unauthorized times,is the same as the black smith,is a longshoreman who watches for accidents,is a safety measure in case one of the outboard guys part,D,
1674,"A reproductive health hazard, listed on a Material Safety Date Sheet (MSDS), that can cause genetic changes in sperm or egg cells is called a:",cryogenic,carcinogen,teratogen,mutagen,D,
1675,A right-handed propeller will cause the survival craft to:,right itself if capsized,run faster than a left-handed propeller,walk the stern to starboard in reverse,walk the stern to port in reverse,D,
1676,A role behavior of a leader which refers to a persons knowledge of proficiency in any type of process of technique is called.,human skill,organizing skill,conceptual skill,technical skill,D,
1677,A safety feature provided on all inflatable liferafts is:,overhead safety straps,built in seats,internal releasing hooks,water stabilizing pockets,D,
1678,A safety outlet is provided on the CO2 discharge piping to prevent:,flooding of a space where personnel are present,rupture of cylinder due to temperature increase,over pressurization of the space being flooded,over pressurization of the CO2 discharge piping,D,
1679,A seaman may have all or part of his wages deposited by allotment to a bank or savings institution. Which of the following is NOT a requirement for this type of allotment?,All of the above are requirements.,The account must be opened by the seaman and maintained in the seaman s name.,The institution must be insured by the FSLIC or FDIC.,The account must be either a checking or savings account.,D,
1680,"A seizure is the change in behavior that occur after an episode of abnormal electrical activity in the brain. Thus, during seizure attack, the first aider should perform the following, except:",Try to prevent a fall. Lay the person on the ground in a safe area. Clear the area of furniture or other  sharp objects.,Cushion the person's head.,"Loosen tight clothing, especially around the neck.","Turn the person on their side. If vomiting occurs, this helps make sure that the vomit is inhaled into the lungs.",D,
1681,A seizure lasting longer than a brief fainting spell with a marked shortness of breath and facial congestion may:,be a sign of overwork,be symptoms of shock,not be a good sign and might warrant attention,be a heart attack,D,
1682,A shipboard oil pollution emergency plan (SOPEP) is required to which of the following?,"An oil tanker of 400 gross tons and above, or other ships of 150 gross tons and above","All vessels, regardless of size and commercial application ",Any barge or other ship which is constructed or operated in such a manner that no oil in any form can be carried aboard,"An oil tanker of 150 gross tons or above, or other ship of 400 gross tons or above",D,
1683,A shipboard Oil Pollution Emergency Plan is required of:,"all vessels, regardless of size and commercial application",any barge or ship constructed or operated in such a manner that no oil in any form can be carried aboard,"an oil tanker of 400 gross tons and above, or other ships of 150 gross tons and above","an oil tanker of 150 gross tons and above, or other ship of 400 gross tons and above",D,
1684,A side girder in the fore and aft line sited either side of the keel:,bulkhead,center girder,longitudinal,intercoastal side girders,D,
1685,A SOLAS approved lifebuoy should weigh not less than:,1.0 kg,2.0 kg,1.5 kg,2.5 kg,D,
1686,A sprain is:,a fracture in which the bone is chipped but not broken.,a dislocation of the bones of a joint.,an injury to a muscle resulting from overexertion.,a stretching of the ligaments around the joint,D,
1687,A strong back  refers to a:,deep beam,centerline vertical bulkhead,spanner stay,bar securing a cargo port,D,
1688,A tank which carries liquid is dangerous to the stability of a ship when it is:,completely full,low in the ship ,completely empty,slack,D,
1689,A tank which carries liquid is dangerous to the stability of a vessel when it is:,completely empty,low in the vessel,completely full,slack,D,
1690,A tank which has been sealed for a long time can be dangerous for human entry because:,tank coating gives off toxic fumes,sealed tank usually form a vacuum,moisture displaces oxygen,steel surfaces consumes oxygen by rusting,D,
1691,A tankerman who permits or causes oil to go into a navigable waterway may be federally punished with which of the following?,Imprisonment,Suspension or revocation of tankerman's document,Fine,All of the choices,D,
1692,A tourniquet should be used to control bleeding ONLY:,when the victim is unconscious,with puncture wounds,to prevent bleeding from minor wounds,when all other means have failed,D,
1693,"A vertical shaft having a rudder to its lower end and having a yoke, quadrant, or tiller fitted to its upper portion by which it may be turned is the:",stern tube,rudder plate,rudder post,rudder stock,D,
1694,A vessel aground may have negative GM since the:,"lost buoyancy method is used to calculate KM, and KB is reduced",virtual rise of G is directly proportional to the remaining draft,decrease in KM is equal to the loss of draft,displacement lost acts at the point where the ship is aground,D,
1695,"A vessel arrives in a foreign port and the Master is informed that the vessel is being sold to foreign interests. The new owners request that the crew remain on board to complete the voyage.  Under these circumstances, the crew:",must remain aboard until the vessel is delivered to the new owners at a mutually agreed upon port,must remain on board,must comply with the decision made by the Master,has the right to an immediate discharge and transportation to original port of engagement,D,
1696,A vessel continually lists to one side and has a normal rolling period. Which statement is TRUE?,The vessel has negative Gm,The center of gravity is on the center line.,The list can be corrected by reducing KM.,The vessel has asymmetrical weight distribution.,D,
1697,A vessel has how many degrees of freedom?,Three,Five,Four,Six,D,
1698,A vessel having continuous closely spaced transverse strength members is:,longitudinally framed ,cellular framed ,web framed,transversely framed,D,
1699,A vessel is in compliance with federal regulations regarding the discharge of sewage by __________.,pumping the sewage ashore to an approved container,holding all sewage onboard,treating sewage in an approved system,All of the choices,D,
1700,A vessel is subjected to 'hogging' when it:,has its main deck under compressive stress,has its bottom plating under tensile stress,is supported on a wave whose crests are at the bow and stern,is supported on a wave whose crest is amidships,D,
1701,"A vessel of 14,000 ton-displacement is 160 m long and 20 m wide at the waterline. If she is floating in SW at a draft of 6.1 m. Find her block coefficient.",0.56,0.65,0.7,0.83,D,
1702,A vessel s stability is greatly reduced by liquid free surface. Which of the listed conditions would develop the greatest adverse effect:,Tanks which have been pressed up to full capacity.,Tanks which have been completely emptied.,Tanks which are 95% full.,Tanks which are 40% full.,D,
1703,A vessel s stability normally increases when tanks are ballasted because the vessels:,center of buoyancy is lowered,reserve buoyancy is increased,freeboard is increased,center of gravity is lowered,D,
1704,"A vessel to which Annex V to MARPOL 73/78 applies is located in a MARPOL designated special area, 14 nautical miles from nearest land. What type of garbage is permitted to be discharged?",Paper products,"Glass ground to less than 1""","metal ground to less than 1""",Food waste,D,
1705,A vessel with a large metacentric height will:,tend to ship water on deck in heavy weather,have small amplitude of roll in heavy weather,be less likely to have cargo shift,be subject to severe racking stresses,D,
1706,A vessel with a small GM will:,be more subject to synchronous rolling,have a short rolling period,provide an uncomfortable ride for personnel,have a smaller amplitude of roll in heavy weather,D,
1707,A vessel would be referred to as tender when the weight of the cargo is:,evenly distributed vertically and the double bottoms are full,concentrated low and the double bottoms are empty,concentrated low and the double bottoms are full,concentrated high and the double bottoms are empty,D,
1708,A vessels stability is greatly reduced by liquid free surface. Which of the listed conditions would develop the greatest adverse effect?,Tanks which are 95% full.,Tanks which have been pressed up to full capacity.,Tanks which have been completely emptied.,Tanks which are 40% full.,D,
1709,A victim is coughing and wheezing from a partial obstruction of the airway. An observer should:,perform the Heimlich maneuver,immediately start CPR,give back blows and something to drink,allow the person to continue coughing and dislodge the obstruction on his own,D,
1710,A victim is coughing and wheezing from a partial obstruction of the airway. An observer should:,perform the Heimlich maneuver,immediately start CPR,give back blows and something to drink,allow the person to continue coughing and dislodge the obstruction,D,
1711,A watertight longitudinal division at right angles to the keel running at centerline is called:,intercoastal girder,asymmetrical girder,symmetrical girder,center girder,D,
1712,A weathertight door on a vessel must not allow water to penetrate into the unit in:,50 knot winds,70 knot winds,100 knot winds,any sea condition,D,
1713,"Aboard a cargo vessel, the supply of carbon dioxide used in a fixed extinguishing system MUST at least be sufficient for what space(s)?",All the spaces of a vessel,All cargo spaces,The engine room and largest cargo space,The space requiring the largest amount,D,
1714,"Aboard a survival craft, ether can be used to:",aid in helping personnel breathe,prime the air supply,prime the sprinkler system,start the engine in cold weather,D,
1715,"Aboard a vessel, dividing the sum of the longitudinal moments by the total weight yields the vessel's:",inclining moments,righting moments,vertical moments,longitudinal position of the center of gravity,D,
