Table 1
FUNCTION 2: CARGO HANDLING AND STOWAGE AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
1420,A ship LBP 150 m is floating at drafts 4.50 m F and 5.42 m A. How much ballast water must be transferred from the aft peak tank (LCG 2m FOAP) to the fore peak tank (LCG 148 m FOAP) in order to reduce the trim by the head to 0.20 m if the MCTC is 156 tonnes-m.,125 tonnes,118 tonnes,122 tonnes,120 tonnes,D,
1421,A stretch of water where there are no adjacent river or canal banks.,restricted water,confined water,shoal,open water,D,
1422,A survey may be appointed to certain condition of the cargo before it is loaded are called:,initial survey,draft survey,on/off hire survey,pre-shipment survey,D,
1423,A tank vessel transferring non-flammable hazardous cargo in bulk must display warning signs. These signs must:,be visible from both sides and from forward and aft,"indicate ""NO SMOKING""",be displayed only while transferring cargo and fast to a dock,use black lettering on a white background,D,
1424,A tanker loads at a terminal within the tropical zone. She will enter the summer zone five days after departing the loading port. She will burn off about 45 tons/day and daily water consumption is 8 tons. How many tons may she load over that allowed by her summer load line?,225,235,245,265,D,
1425,A term generally used to designate one of the transverse ribs that make up the skeleton of a ship:,shell plating,keel,strakes,frame,D,
1426,A term when her submerged volume is least and she has no cargo but her bunkers are full.,Lightweight,Lighterage,Light Dues,Light Draught,D,
1427,A type of bulk carrier that has high freeboard and equipped with its own unloading  equipments?,coal carrier                ,iron ore carrier,Cement Carrier,wood chip carrier,D,
1428,"A type of lashing system used by means of levers and turnbuckles for chains, quick release tensioned for wire.",Webbing,Tensioning,Tie down and lashing,Lashing gear,D,
1429,A venetian vent is used in stowage of which cargo.,Bagged cargo such as gasoline,Bulk grain place in silos,Bulk rice,Cargoes place in jutes,D,
1430,"A vessel displaces 13,800 tonnes and has an initial KG of 3.84 meters. A deck cargo of 2,400 tonnes is discharged from a position KG 7.24 meters. Calculate the new KG of the vessel.",4.556 meters,3.248 meters,3.336 meters,3.124 meters,D,
1431,"A vessel displacing 13,500 tonnes is heeled by 7.5 degrees while her moment of statical stability is 650 tonnes m. Calculate the initial metacentric height.",0.369 cm,0.42 m,0.395 m,37 cm,D,
1432,"A vessel draws 8.50 m of water (RD 1.005), height of antenna from the keel is 30 m while TPC is 20 tonnes. The bridge span vertical clearance is 24 m, density of water RD 1.018. Find the amount of ballast to load in order to have a safe vertical clearance of 3 m from the tip of antenna to the span.","1,120 tonnes ","1,022 tonnes","1,240 tonnes","1,220 tonnes",D,
1433,"A vessel draws 9 m of water (RD 1.009), height of antenna from the keel is 30 m while TPC is 15 tonnes. The bridge span vertical clearance is 24 m, density of water RD 1.020. Find the amount of ballast to load in order to have a safe vertical clearance of 3 m from the tip of antenna to the span.",143 tonnes,145 tonnes,148 tonnes,146 tonnes,D,
1434,"A vessel draws 9.8 m of water, RD 1.023, TPC(SW) 10 tonnes, is heading towards a river port, RD 1.010, whose water depth is 10 m, in order to discharge her cargoes. How much cargo should be initially discharged at the anchorage in order to pass safely towards the river port with an under keel clearance of 3 meters.","2,926 tonnes","2,826 tonnes","2,946 tonnes","2,889 tonnes",D,
1435,"A vessel has a displacement of 13,000 tonnes, initial KG of 7.2 m and KM at 7.946 m. Calculate the final metacentric height if 1,200 tonnes of cargo is loaded into the cargo hold (KG 2.4 m).",6.794 meters,7.606 meters,0.340 meters,1.152 meters,D,
1436,"A vessel has a displacement of 25,000 cubic meter of density 1.025 kg/cubic meter. Find the density of water in which she would displace a volume of 25,123 cubic meter.",1.015,1.018,1.010,1.020,D,
1437,"A vessel has a draft 9.25 m F and 9.30 m A in salt water. After loading, her final draft are 12.00 m F and 13.50 m A, causing the center of gravity to move aft from amidship by 63 cm while buoyancy moves forward from amidship by 0.25 meter. Find the displacement of the vessel if TPC and MTC are 180 tonnes and 401 tonnes, respectively.","63,850 tonnes","69,215 tonnes","64,543 tonnes","66,074 tonnes",D,
1438,"A vessel has to cross a bar where the maximum depth of water is 9.65 m. The present drafts are 7.60 m F and 9,12 m A. What is the minimum amount of ballast to transfer forward through a distance of 62 m in order to cross the bar with an even keel clearance of 0.80 m? LBP 136 m, MCTC 248 and LCF 65.6 m FOAP.",214 tonnes,235 tonnes,218 tonnes,224 tonnes,D,
1439,"A vessel that is experiencing strong wind on the port beam, this has the same effect on the stability as:",Increasing the trim,Increasing the draft,Reducing the freeboard,Weight that is off center to starboard,D,
1440,A vessel will heel to a static angle when a wind force causes it due to  __________.,  deck-edge immersion occurs,centers of buoyancy and gravity are in the same vertical line,  center of buoyancy remains the same,righting moment equals the wind-heeling moment,D,
1441,A vessel's stability is greatly reduced by liquid free surface.  Which of the listed conditions would develop the greatest adverse effect?,Tanks which are 95% full.,Tanks which have been pressed up to full capacity.,Tanks which have been completely emptied.,Tanks which are 40% full.,D,
1442,A virtual rise in the center of gravity of a vessel may be caused by:,emptying a partially filled tank,filling a partially filled tank,transferring pipe from the setback area to the pipe rack,using fuel from a pressed fuel tank,D,
1443,"A weight is discharge below the original height of center gravity, which of the following will happen?",GM increases,draft increases,KB increases,KG increases,D,
1444,"According to the Chemical Data Guide, which extinguishing agent is NOT recommended for use in fighting an ethylamine fire?",Alcohol foam,Carbon dioxide,Dry chemical,Water fog,D,
1445,"According to the Code of Safe Practices for Ship's Carrying Timber Deck Cargoes, which of the following is not included in the term ""Timber""?",Pulp wood,Sawn wood,Cant,Wood pulp,D,
1446,"After a partial discharge and prior to sailing, it is important to:",carry out a cargo survey, thoroughly ventilate,redo the cargo plan,secure and shore the remaining cargo,D,
1447,"After inspection, the mate reported about the vessel's condition to be ""Sagging"". It means:",midship draft is bigger than the forward end,"The weight is concentrated at the ends of the ship, bending its structure.",A hold is overloaded.,midship freeboard is smaller than the ends,D,
1448,All liquids can change into vapor and the process is called:, Liquefaction,condensation,emulsification,evaporation,D,
1449,"Although there is oxygen, the supply of petroleum vapor is incapable to produce combustion.",The upper flammable limit,The melt down point,The auto ignition temperature,The lower flammable limit,D,
1450,"An arrangement of piping and hoses used to control vapor emissions collected from a tanker, and includes the vapor collection system and the vapor processing unit.",Terminal vapor collection,Vapor Emission Control System,Vapor Dispersion unit,Tanker vapor connection,D,
1451,An LNG carrier has an approved type of gas detecting system to detect methane leaks in the:,cargo handling rooms,barrier spaces,boiler burner supply piping,All of the choices,D,
1452,Angle irons used to strengthen a bulkhead.,Bulwark,Coming,Air holes,Bulkhead stiffeners,D,
1453,Another name of spurling pipe is __________,chain locker pipe,bell mouth hawse pipe,cow head pipe,navel pipe,D,
1454,Any combustible liquid having a flash point of 150F or above is grade:,A,B,D,E,D,
1455,"As the displacement of a vessel increases, the detrimental effect on free surface will:",remain constant,increase,vary depending on the sea water density,decrease,D,
1456,"Bales of wool with a stowage factor of 100 is to be loaded in No.3 lower hold which has a bale cubic of 72,000. How many tons of the wool can be stowed in the compartment, assuming 10% broken stowage?",493,577,602,648,D,
1457,"Ballast condition both on departure and on arrival shall be assumed that on arrival, oil fuel, fresh water, consumable stores and the like are reduced to ____________.",empty,5 percent of their capacity,12 percent of their capacity,10 percent of their capacity,D,
1458,Ballast lines to deep tanks should be:, flooded to keep pumps primed, flushed weekly,ultrasonically tested annually,blanked prior to loading dry cargoes,D,
1459,"Before entering a fuel tank that has been cleaned, it should be checked with an oxygen indicator and a/an __________. ",halide torch,flame safety lamp,Orsat apparatus,combustible gas indicator,D,
1460,"Before the ship can load the next cargo, cargo holds should be:",cargo holds must be newly painted,inspected by the surveyors,with consent of the master,must be adequately cleaned,D,
1461,"Bilge pumping and piping arrangements in every cargo ship should, in general, be capable of discharging water from any compartment when the ship is on even keel or listed not more than __________.",15 degrees either way,10 degrees either way,8 degrees either way,5 degrees either way,D,
1462,Bilges of cargo holds should be regularly sounded. Bilge soundings indicates:,the amount of condensation in the hold,whether the cargo is leaking or not,whether the ship is taking in water,all of the choices,D,
1463,"Bulk carriers have how many longitudinal watertight bulkheads which permits the ship to have a minimum freeboard under the International Load Line Convention, equivalent to that for a tanker?",four,three,none,two,D,
1464,Bulwarks and guard rails are fitted at a height of at least _______.,1.2 meters,0.9 meter,0.85 meter,1 meter,D,
1465,Bunker  C  a grade  E combustible liquid  will:,give off flammable vapors below 80F (26.7C),have a Reid vapor pressure of 14 psi (96.5 kPa) or more,self-ignite at temperatures below 150F (65.5C),have a flash point of 150F (65.5C) or more,D,
1466,By what parts the weight of the container and its contents is supported on deck?,Bottom flooring only,Bottom side and end rails,Bottom flooring and end panels,Four lower corner casting,D,
1467,"Calculated Grain Heeling Moments individually, they must be ____________ to obtain Grain Heeling Moment.",Multiplied,Subtracted,Divided,Summed,D,
1468,"Calculating the ""Strength of the ships"" are made difficult due to varied forces to which the ship structure is subjected during its lifetime, such as statical force. Statical forces are due to the following, except:",direct hydrostatic pressure,concentrated local weights ,buoyancy forces,"Pitching, heaving and rolling",D,
1469,Cargo ship fitted with refrigerating apparatus but capable also of carrying cargo other than refrigerated.,General cargo vessel,Container feeder vessel,Multi-purpose vessel,Reefer vessel,D,
1470,Cargo that is suitable for carriage on Ro-Ro vessels includes:,trailers,containers,rolling vehicles,All of the choices,D,
1471,Cargo which is shipped by value is considered:,insured cargo,weight cargo,measurement cargo,ad valorem cargo,D,
1472,Cargoes that gives off fumes that may contaminate other cargo is known as a:,delicate cargo,toxic cargo,dirty cargo,odorous cargo,D,
1473,Combustible gas indicators detect flammable gases  or vapors present in the atmosphere by an intricate system which includes:,weighing the vapor,burning the vapors,metering the vapors,measuring the vapor volume,D,
1474,Combustible liquids are divided into how many classes?,One,Three,Four,Two,D,
1475,"Container vessels are provided with box girders designed to resist torsional stresses at the deck, given the lack of structural material resulting from large deck openings.",bearing box,box girders,panting box,torsion box,D,
1476,Containers of flammable solids should be conspicuously labeled by the shipper with:,white label,red label,black and white label,red and white label,D,
1477,Contamination of food cargo by an odorous cargo can only be prevented by:,placing cargo separation net between the two lots,separating the two lots with bagged cargo,segregating the two lots of cargo into separate holds sharing the same ventilation system,segregating the two lots of cargo into separate holds with different ventilation system,D,
1478,Damage to cargo caused by dust is known as:,oxidation,vaporization,tainting ,contamination,D,
1479,Diesel fuel is relatively safe to handle due to its low volatility  but the fumes will self-ignite and continue to burn steadily if the fuel is heated to the:,upper explosive limit,flash point,volatility point,ignition point,D,
1480,"Displacement of your vessel is 10,000 tons, TPI is 50, difference in densities is 12.  Find Immersion.",cannot be computed,3.4 inches,4.2 inches,2.4 inches,D,
1481,"Distance from the waterline to the top of keel, measured at amidships is called __________.",summer draft,statutory draft,moulded depth,draft moulded,D,
1482,"During stability calculation, the estimated total weight and the longitudinal and vertical center of gravity of each such total weight should be based on ______________",total weight of the cargoes only ,"fuel oil, lube oil, fresh water, ballast, constant or deadweight capacity",total deadweight capacity less 10 % consumables ,"passengers, crew and their effects in case of passenger ship",D,
1483,"During the ballast voyage, how are the tanks kept cold on an LNG tanker?",Aggressive gas compressor operation,Venting gas to the atmosphere,Managing the tank pressure,Spraying LNG heel through spray nozzles in the tanks,D,
1484,Each hose used for transferring vapors must:,have a design burst pressure of at least 25 psig,be capable of withstanding at least 2.0 psi vacuum without collapsing or constricting,be electrically continuous with a maximum resistance of ten thousand ohms,All of the choices,D,
1485,Eductors are used within oil tanker cargo operations for:,commencing cargo discharge,heating the cargo,commencing cargo loading,cargo stripping,D,
1486,Effect of discharging a weight:,G will move directly towards the center of gravity of the discharged weight,G will move parallel to and the same direction of the discharged weight,G will move away from the center of buoyancy of the discharged weight,G will move away from the center of gravity of the discharged weight,D,
1487,Electric cargo winches have an overload safety device which normally cuts the current to the winch motor __________. ,when the line pull reaches the breaking strength of the fall,before the safe working load of the fall is reached,before the line pull reaches the rated capacity of the winch,after torque causes line pull to exceed the rated capacity of the winch,D,
1488,Even ballast tanks that are initially full may become slack as the voyage progresses due to constant rolling and pitching ________________ ,causing the G to rise as as ballast water is agitated,causing the GM to decrease,causing the GM to increase as heaving of water is pronounced,causing water to escape from air pipes on deck.,D,
1489,Every passenger ship with ro-ro cargo spaces shall be provided with supplementary lighting capable to operate up to:,12 hours,6 hours,9 hours,3 hours,D,
1490,"Find the angle of heel for the worst condition if weights are to be shifted and lifted respectively.  First, weight is 50 tons, shifted to a distance of 30 feet from the centerline.  The other weight is 50 tons to be lifted at a distance of 50 feet from the centerline.  GM is 3.7 feet, displacement is 20,000 tons.",2.0º,0.054º,5.3º,3.0º,D,
1491,"Find the displacement of your vessel, if the deduction of your vessels freeboard when loading in fresh water is 7.4 inches, the TPI is 52 tons at summer load draft.","15,100 tons","15,240 tons","15,100 tons","15,400 tons",D,
1492,Flammable liquid means any liquid which gives off flammable vapors at what temperature?,40deg.F,110deg.F,120deg.F,80deg.F,D,
1493,"For any vessel, the true measure of a vessel's stability is her ________________",metacentric Height (GM),KN Curves,Positive stability,righting moment,D,
1494,"For general cargo, thorough hold preparation is required.  This is mainly to ensure that:",bilges are clean and working,the previous cargo value is realized,all dunnage is renewed,the next cargo is carried efficiently and safely,D,
1495,Grade E liquids are those having a flash point of:,150deg. F and below,below 150deg. F and above 80deg. F,below 80deg. F,150deg. F and above,D,
1496,Guideline requirements for the carriage of bulk grain state that:,Grain must never be over stowed,The ship can sail with a maximum of 5° heel,grain must always be over stowed,"following a cargo shift, the maximum heel must be no  more than 12°",D,
1497,How is “Bale Cubic” defined?,"The internal volume of a cargo hold measured from the inside of the side shell, the underside of the deck, and the tank top.","The internal volume of a cargo hold measured from the outside of the side battens, the underside of  the deck, and the tank top.","The internal volume of a cargo hold measured from the outside of the side shell, the underside of  the deck, and the tank top.","The internal volume of a cargo hold measured from the inside faces of the cargo battens, the lower  of the deck beams, and the top of the tank top ceiling",D,
1498,How is the amount of LFG that may be loaded into a given tank determined? ,Loading to within 10 percent of the safety relief valve setting,Loading to within 1 percent of outage,Checking the loading sheet,Filling to the maximum level indicated on the liquid level gauging device,D,
1499,"How many board feet would be listed on the Bill of Lading if your vessel are to load a consignment of lumber. Each piece measure 3-inches thick, 12-inches wide and 16-feet long. There are 30,000 pieces in the shipment?","14,400,000","1,200,000","96,000","1,440,000",D,
1500,How many grades of petroleum products are combustible?,5,4,3,2,D,
1501,"How many tons should be shifted to a distance of 38 meters in order to have an even keel, if vessels trim is 1 meter by the stern and MTC is 190 tonnes-meter?",550 tonnes,250 tonnes,150 tonnes,500 tonnes,D,
1502,"How much space would 300 tonnes of tea with a stowage factor of 3.0 take up, if it had a broken stowage factor of 10%?"," 3,330 cubic meters", 90 cubic meters,330 cubic meters,990 cubic meters,D,
1503,How will the Cargo Officer know if there is leaking in a newly topped off tank of a tanker vessel?,There will be unequal ullage reading in all Cargo Oil Tanks (COT),There is oil present on the sea surface around the vessel,There is a sudden decrease in the ullage reading while the other tanks remain unchanged,The sounding rod with a litmus paste found traces of oil in the ballast tank,D,
1504,Hygroscopic cargoes should be ventilated in cases when: ,coming from a cold to warm climate,the dew-point of the air inside the cargo hold is lower than the dew-point outside,sweat starts to develop inside the cofferdam adjacent to cargo hold NO. 1,the vessel enters a colder area than before,D,
1505,If an electric cargo winch is being used to lift a draft of cargo and the engine room loses all power which will occur:,The load will fall rapidly to the deck unless the foot brake is engaged.,The load will slowly lower to the deck under control of the drag of the winch motor.,A pawl   forced by a spring mechanism  will engage the teeth of the bull gear and hold the load.,An electromagnetic brake will hold the load where it is suspended.,D,
1506,"If reefer space are not properly cleaned prior to loading cargoes, it will most likely cause:",refrigeration temperature will not be attained,contamination of the cargo,malfunction of the refrigeration machinery,mold to develop on commodities,D,
1507,"If the ship is loading in water that is less dense than salt water, then ____________",apply the fresh water allowance always so that you will return to summer once at sea,apply the hydrostatic data on TPC as well as MTC to arrive with loadable cargo,the tanks which have been pressed up to full capacity,allowance should be made for the ship rising out of the water on reaching the sea.,D,
1508,"If the stowage factor of cotton is 56, allowing a broken stowage of 15%, it will stow at a factor of:",47.6,67.6,71,65.9,D,
1509,"If you have a liquefied flammable gas barge in tow, which is NOT required of you with respect to the barge and its cargo?",Keep the barge under constant surveillance.,Make periodic inspections of bilges.,Have a properly certificated tankerman or at least one credentialed officer on board the towing vessel.,Verify ullage readings.,D,
1510,"IMO deals with environment protection and pollution prevention. It also has a legal committee, which was formed following the _________________.",Oswego Guardian - Texanita collision in 1972,ULCC Amoco Cadiz stranding in 1978,SS Mobil Oil sinking in 1965,Torrey Canyon incident in 1967,D,
1511,"In container operations, tare weight would mean ____________ ",Weight of the container,Weight of the contents of a container,Total weight of a container and contents,Weight of an empty container,D,
1512,"In crane operation, you used the hydraulic system to control its movement, any operation without the aid of wires is __________",Lowering Operation,Luffing Operation,Hoisting Operation,Slewing Operation,D,
1513,"In crane operations, which action(s) is/are included?",Normal boom stowage and shutdown operations,Emergency shutdown operation,Removing booms from stowage,All of the choices,D,
1514,"In crude oil washing system, what is not a requirement?",Use an inert gas system while washing tanks.,Decant one meter from the source tank for the tank cleaning machines.,Strip all tanks and remove the bottom residue.,Use an inert gas to power the butterworth machines,D,
1515,"In order to determine the fire and explosion hazard data for naphtha, you would use that information contained in the Chemical Data Guide for which chemical?",Treacle,Naphthalene,Tar camphor,Mineral spirits,D,
1516,"In tanker operations, transferring the liquid oil left in the cargo tanks to another tank, while using the main cargo pump in discharging the bulk liquid ashore can be done efficiently with:","Stripping piston type, reciprocating pump",Bilge pump powered by hydraulic for maximum efficiency,Centrifugal pump ,Eductor ,D,
1517,"In the battery room of each cargo reefer, the refrigerant recovery cylinders are color coded __________.",yellow top and light blue body,yellow top and dark body,light blue top and yellow lower body,yellow top and gray body,D,
1518,"In the case of timber deck cargo, the arrival condition shall include the weight of water absorbed by the cargo, which is ___________.",10 percent of the all the timber cargoes on deck,12 percent of the deck load timber loaded,18 percent of the timber deck cargo loaded,15 percent of the weight loaded,D,
1519,"In what condition of stability when a vessel is heeled by an external force in still water to small angle of inclination, it comes to rest at an indeterminate angle of heel?",unstable condition,stable condition,angle of loll condition,neutral condition,D,
1520,"It is a permeable matrix of metal, ceramic or other heat resisting materials which can cool a deflagration flame below the ignition temperature.",flame bricks,flame proof,flame screen,flame arrester,D,
1521,"It is a type of fairlead used to prevent chafing and to give a direct lead of a mooring line to the windlass, winch or capstan.",multi angle fairlead,panama leads ,roller fairleads,old man or dead man,D,
1522,It is fitted on the after end below the upper rain flat which disperse the exhaust from the various ventilators led to the funnel.,pilgrim valve for exhaust,funnel flaps,fire flaps,louvers,D,
1523,It is the procedure of strengthening damaged bulkheads by using wood or steel.,Bracing,Battening,Blocking,Shoring,D,
1524,"It is the stability of the vessel after flooding, wherein the overall characteristics of the vessel can be considerably changed:",Lost Buoyancy Stability that resulted in reduced transverse stability,Added Weight Stability ,Intact Stability,Damage Stability,D,
1525,"It occurs when a ship is travelling with the direction of approach of the waves from a near astern direction. Large waves overtake the ship and hits one quarter the ship will tend to be thrown round into the direction in which the wave is moving, resulting in severe heeling.",yawing,surging ,severe rolling,broaching,D,
1526,Latent heat is _____________.,heat added to change state of substance,heat removed to change pressure of a substance,heat removed to change temperature of a substance,heat removed to change state of substance,D,
1527,Liquefied gases are usually transported in the following ways: I. Under pressure at freezing temperature; II. Fully refrigerated at their boiling point; or III. Semi-refrigerated at reduced temperature and elevated pressure.,I and II,I and III,"I, II and III",II and III,D,
1528,Litmus paste is used in order to determine:,ullage,the tanks datum point,innage,thievage,D,
1529,LNG is carried at approximately what temperature?,-160 degrees F,-160 degrees R,-160 degrees K,-160 degrees C,D,
1530,Many dangerous cargoes are stowed on deck because of the:,danger to crew and cargo,necessity of periodic inspection,possible need to jettison,all of the choices,D,
1531,"On a containership, the cargo includes a container of small arms ammunition, a container of lead-acid storage batteries and a container of methyl acetylene bottles. Which statement is TRUE?",The storage batteries must be at least ten horizontal feet away from the methyl acetylene.,The ammunition must be separated from the methyl acetylene by at least one hold.,The storage batteries must be stowed on deck away from the ammunition.,No separation is required because freight containers are exempted.,D,
1532,"On a manned vessel carrying packaged hazardous cargo, the hazardous materials shall be inspected __________.",prior to entry into a U.S. port,every 24 hours unless equipped with a fire detecting system,after stowage is complete,all of the choices,D,
1533,"On a tanker vessel, what is the required combined capacity of the inert gas generating system as compared to the total capacity of all the cargo pumps which can be operated simultaneously?",105%,152%,105%,125%,D,
1534,"On a vessel of 12,000 tons displacement, what is the reduction in metacentric height due to free surface when a tank 60 feet long and 60 feet wide is partially filled with water?",2.30 feet,2.43 feet,2.48 feet,2.57 feet,D,
1535,One of the principal dangers inherent in liquefied petroleum gas is:,as it warms up it becomes heavier than air,the way it reacts with sea water,the strong odor it produces,its low temperature causes frostbite or freezing,D,
1536,Oscillation on the vertical axis is termed __________,heaving,pounding,rolling,yawing,D,
1537,Pressurized tanks in LPG and LNG are _____________.,rectangular,trapezoidal,spherical,cylindrical,D,
1538,Rope faking is described as _____________,laying out rope on deck in parallel rows,laying rope in a tight spiral flat on the deck,laying rope in an overlapping fashion one after the other,laying a rope on deck in a series of figure eights,D,
1539,"Sacrificial anodes may be fitted within the hull, and are often fitted in ballast tanks. However, magnesium anodes are not used in the cargo-ballast tanks of oil carriers owing to the _____________.",fire hazard,tank hazards,hazards,spark hazard,D,
1540,Segregation of cargoes refers to __________.,separating cargoes by destination,listing the cargoes in order of their flammability,classifying cargoes according to their toxicity,separating cargoes so that the inherent characteristics of one cannot damage the other,D,
1541,Ships carrying timber deck cargoes will  ____________.,cause the metacentric height to increase,absorb water causing the timber cargoes to off center,absorb moisture that will cause the M to rise,absorb moisture that will cause the G to rise,D,
1542,"Squat at the bilge plating , caused by ships overtaking or passing in a river.",river squat,banking squat,shallow water squat causing bilge plating stress,transverse squat,D,
1543,Sweat damaged in a hatch full of canned goods in cartons will occur when the:,dew point is lower than the temperature of the cargo,air temperature is higher than the temperature of the cargo,air temperature is lower than the temperature of the cargo,dew point is higher than the temperature of the cargo,D,
1544,Tensile stress is a result of two forces acting in ________.,Opposite directions along the parallel line,The same direction along the parallel lines,"Opposite direction on the same line, tending to pull the material apart.","Opposite direction on the same, tending to compress the object",D,
1545,The amount of water that can enter a compartment or tank after it has been bilged is called:,one compartment standard,center of flotation,form gain,permeability,D,
1546,"The angle of heel due to shift of the grain shall not be greater than, or in the case of ship constructed on or after ___________ the angle at which the deck edge is immersed, whichever is lesser.",1-Jan-95,1-Jan-96,1-Jan-93,1-Jan-94,D,
1547,The angle of repose of a free-flowing bulk cargo in the hold is.,The angle between the vertical plane and the slope down from the cone.,The angle between the vertical plane and the slope up to the cone.,The angle between the horizontal plane and the slope up to the cone.,The angle formed by the cone at the top.,D,
1548,"The blowers of an inert gas generation system aboard a tanker, will be automatically secured if __________.",normal water supply at the water seal is lost,the temperature of the inert gas being delivered to the cargo tanks is more than 150°F,the cooling water supply to the scrubbers is lost,all of the choices,D,
1549,"The cargo of liquefied gases is carried in ___________________, which provide containment for the liquid and rely on the structural support from the adjacent ship structure.",dependent tanks,refrigerated tanks,insulated tanks,membrane tanks,D,
1550,The cathodic protection of ballast and cargo/ballast tanks is only ever of the sacrificial anode type using _______ anodes.,Aluminum,Magnesium,Zinc,all of the choices,D,
1551,The classification of corrosive materials is:,Class 7,CLASS 6,Class 4.`1,Class 8,D,
1552,The coamings of ventilators are to have a minimum height above the weather deck at _______________,800 mm,900 mm which must be specially stayed,1000 mm in Position 1 and 1200 mm in Position 2,900 mm in Position 1 and 760 mm in Position 2,D,
1553,The device used for preventing the passage of flames into enclosed spaces is called a __________. ,flame relief valve,flame stopper,safety valve,flame arrester,D,
1554,The difference between the weight ordinate and the buoyancy ordinate of each section throughout of the ship.,buoyancy curve,bonjean curve,wave curve,load curve,D,
1555,"The displacement of a box-shaped vessel is 1,028 tons.  Her measurement is 150 feet x 30 feet x 14 feet, draft is 8 feet.  The KG is at the waterline.  The weight of 20 tons is shifted from forward towards the stern at a distance of 100 feet.  Calculate the change of trim if the calculated MCT 1cm is 1,843 ft-tons. (Note: It should be 1inch and NOT 1cm)",1.6 inches,15.19 inches,6.7 inches ,1.09 inches,D,
1556,"The displacement of your ship is 8,000 tonnes on salt water.  The DBT measures 20 meters long x 16 meters wide, partly loaded with salt water.  Calculate the free surface effect or loss of GM.",0.073 M,0.006 M,0.061 M,0.875 M,D,
1557,The final inspection responsibility for seeing that a tank barge is provided with the required equipment and fittings in good and serviceable condition prior to loading cargo rests with the:,owner of the barge,charterer through the Master of the towing vessel,terminal operator,tankerman or person in charge of loading,D,
1558,The heaviest type of pallet and can withstand greater load is the:,shipping pallet,warehouse pallet,factory pallet,stevedoring pallet,D,
1559,The intact volume of a vessel above the waterline is called:,Buoyancy,Lost Buoyancy,Negative Buoyancy,Reserve Buoyancy,D,
1560,"The internal volume of a cargo hold measured from the inside faces of the cargo battens,  the lower side of the deck beams, and the top of the tank top ceiling is known as the:",gross cubic                ,grain cubic                ,net cubic,bale cubic,D,
1561,"The internal volume of a cargo hold measured from the inside of the side shell, the underside of the deck, and the top tank is known as the:",deadweight space,measurement space,gross tonnage,grain cubic,D,
1562,The label required on containers carrying barium oxide in an international shipment must read __________.,"""infectious substance""","""radioactive""","""spontaneously combustible""","""poison""",D,
1563,The label required on containers carrying barium oxide in an international shipment should read:,"""spontaneously combustible""               ","""biomedical materials""","""radioactive""","""harmful stow away from foodstuffs"" ",D,
1564,The length between Perpendiculars (LBP) is the length or distance measured between the forward and after perpendiculars measured __________.,along the center of the summer load line marking,along the statutory summer freeboard,along the statutory summer draft,along the upper edge of the summer load line,D,
1565,The line of the deck plates nearest to the shear strake is the ____.,A- strake plating,garboard strake,tank top plating,stringer plate,D,
1566,The liquid mud tanks on your vessel measures 20 x 18 x 7. The vessels displacement is 986 tons and the specific gravity of the mud is 1.6.  What is the reduction of GM due to 2 of these tanks being slack?, 0.09,1.35 ,0.45,0.88,D,
1567,The maximum length allowed between main transverse bulkheads on a vessel is referred to as the:,floodable length,compartment standard,factor of subdivision,permissible length,D,
1568,The maximum permissible weight of a container and its contents is called.,gross weight,The weight of the cargo it can carry,The weight of the empty container,container rating,D,
1569,The mean load draft of the vessel is 9.4 m in salt water. What should be her draft between loading in dock water of density 1008 kg/cubic meter?,9.60 m,9.06 m,9.50 m,9.56 m,D,
1570,The minimum height of pallets as per ISO standards is:,150 mm,200 mm,250 mm,100 mm,D,
1571,The most important figure in calculating the fee surface of a tank carrying liquid is:,length ,depth ,displacement,breadth,D,
1572,The most likely location for a liquid cargo fire to occur on a tanker would be __________.,in the amidships house,at the main deck manifold,at the vent header,in the pump room,D,
1573,The most likely time for oil pollution while bunkering is when:,first starting to receive fuel,hoses are disconnected and being capped,hoses are being blown down,final topping off is occurring,D,
1574,The owner of every ship shall provide information relating to the stability of the ship. The information shall be _________.,"in the form of a sample loading and discharging plans for all stages, full, 75%, half, ballast and empty condition",encoded in the ships computer data bank which can be retrieved anytime if needed by the officers,"in full satisfaction to the country where the vessel is registered, together with the Port State Control",in the form of a book which shall be kept on the ship at all times in the custody of the master,D,
1575,The primary objective of a Ro-Ro vessel is to __________.,transfer containers without chassis,vapor pressure of the refrigerant at saturation temperature,be loaded full and down to her marks,transport vehicles,D,
1576,The proper method of lashing cars is to ____________,"weigh the body supports, brakes on engine gear, wheels lashed ","lash the body unit, brakes engaged, wheels choked","apply brakes on engine gear, wheels choked, body unit lashed","support the weight of the body, brakes on engine gear, wheels lashed ",D,
1577,The purpose of the devils claw is to:,prevent the windlass from engaging,control the wildcat,prevent the chain from fouling on deck,act as a chain stopper,D,
1578,The revolving drum of a winch used to haul lines is called a:,whelps     ,riding pawl,wildcat,gypsy head,D,
1579,The ship will be loaded to the appropriate load line when the waterline is level with the _____________.,application of burn off as well as dock water allowance all the time,application of freshwater allowance especially in seawater,allowance provided for bunker and water consumption always,top edge of the mark concerned when floating in salt water,D,
1580,The smallest size of flaw that can be detected on a radiograph examination of a weld will be indicated by the:,time of exposure, film speed,exposure reading,penetrometer,D,
